年度季別,全國,台北市,新北市,桃竹地區,台中市,台南市,高雄市
104Q4,123.13,122.72,128.46,136.14,146.61,145.36,126.1
104Q3,131.61,129.33,128.9,133.49,149.25,141.59,137.18
104Q2,135.21,130.85,133.86,133.99,152.14,147.06,144.88
104Q1,132.18,131.45,133.43,137.11,154.35,137.15,141.43
103Q4,134.25,133.34,138.17,135.7,150.43,144.62,143.15
103Q3,136.77,129.94,127.33,139.69,150.87,144.42,141.2
103Q2,135.2,126.57,127.37,138.39,157.99,136.47,136.54
103Q1,132.69,134.89,128.42,130.59,152,140.87,144.66
102Q4,136.11,131.26,139.13,134.89,148.5,127.4,129.07
102Q3,127.93,131.43,139.78,130.72,130.4,126.93,120.84
102Q2,127.26,139.61,131.87,127.57,135.53,122.94,122.58
102Q1,124.11,125.24,140.83,128.55,128.04,117.56,117.04
101Q4,120.6,123.58,134.15,119.72,130.06,120.77,112.76
101Q3,113.44,117.73,116.07,117.39,121.89,115.07,112.03
101Q2,119.2,117.26,132.86,107.99,122.66,114.88,113.15
101Q1,112.75,124.1,120.48,111.53,114.55,107.4,108.7
100Q4,110.24,114.23,128.03,110.83,107.43,105.45,103.27
100Q3,114.16,112.25,124.41,114.3,109.77,104.46,109.74
100Q2,112.47,112.15,125.05,111.77,102.84,104.82,112.38
100Q1,105.63,108.94,117.18,108.37,105.79,103.06,114.81
099Q4,104.15,103.46,108.38,104,103.55,102.16,103.88
099Q3,104.25,102.75,101.58,103.59,104.67,101.95,102.11
099Q2,98.15,98.25,93.75,98.15,99.93,99.6,98.7
099Q1,94.85,92.01,89.52,93.53,96.6,97.03,90.51
098Q4,92.21,90.1,86.82,93.56,81.19,92.37,83.27
098Q3,90.31,88.39,85.72,94.27,95.78,97.6,105.4
098Q2,89.93,90.19,86.79,95.99,104.09,94.6,96.77
098Q1,91.39,92.25,90.01,93.45,107.32,90.53,79.3
097Q4,92.93,94.85,90.27,94.4,99,91.37,83.32
097Q3,92.57,93.91,90.35,95.55,97.79,91.72,86.42
097Q2,90.76,93.76,87.21,95.56,100.05,91.21,88.5
097Q1,88.38,90.23,88.96,95.46,98.97,90.39,87.66
096Q4,87.58,87.87,86.9,93.56,101.42,89.28,89.64
096Q3,87.98,84.82,82.5,91.06,98.12,89.35,88.71
096Q2,85.61,82.64,77.36,89.01,94.37,90.56,85.97
096Q1,83.31,75.72,74.8,86.91,94,91.2,83
095Q4,80.35,69.95,70.83,86.72,92.26,87.29,86.14
095Q3,79.93,67.84,70.1,85.18,94.06,84.45,93.95
095Q2,78.81,64.5,67.06,84.62,89.51,84.89,89.83
095Q1,76.77,63.91,67.22,84.91,84.77,82.96,85.25
094Q4,75.46,62.69,65.23,83.27,85.68,82.22,84.11
094Q3,74.78,59.79,66.7,78.19,87.89,83.04,83.58
094Q2,75.17,58.81,66.02,79.03,91.84,85.21,84.71
094Q1,74.85,59.31,67.5,75.73,94.36,85.56,82.91
093Q4,74.49,59.61,63.45,74.78,93.19,83.29,78.08
093Q3,73.95,59.78,63.07,76.79,89.86,81.5,74.26
093Q2,72.11,57.59,59.78,74.99,84.42,81.62,76.69
093Q1,70.3,54.81,59.78,72.03,82.12,80.45,71.9
092Q4,70.18,55.18,62.32,67.99,77.29,76.43,72.88
092Q3,69.57,55.51,57.49,69.58,69.95,79.16,75.14
092Q2,69.49,54.28,56.66,67.73,81.4,77.87,70.61
092Q1,69.7,56.07,55.4,71.61,92.3,81.57,75.07
091Q4,69.43,57,55.26,76.65,104.56,80.65,76.25
091Q3,70.35,54.96,58.05,70.04,103.97,75.64,79.92
091Q2,70.95,53.2,56.75,72.3,98.63,81.39,73.95
091Q1,72.63,53.06,60.19,76.84,114.16,81.49,59.75
090Q4,73.77,58.22,55.69,78.5,88.7,86.68,76.52
090Q3,74.81,57.2,54.95,78.61,85.06,84.69,75.57
090Q2,74.76,58.08,60.46,78.47,89.99,85.39,88.36
090Q1,75.78,59.95,62.03,80.71,91.83,91.97,86.06
089Q4,76.1,61.04,63.86,81.93,88.32,95.87,88.46
089Q3,76.19,61.34,63.27,80.78,91.34,91.56,88.79
089Q2,78.1,60.53,65.6,81.55,86.37,97.49,92.36
089Q1,79.2,58.65,67.3,75.53,89.04,102.45,100.18
